name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A2	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A3	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
A4	SEEG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B1	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B2	SEEG	µV	0.08	300	1000	not applied	resected	seizure onset zone	n/a	n/a	trained
B3	SEEG	µV	0.08	300	1000	not applied	resected	seizure onset zone	n/a	n/a	trained
B4	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
B5	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
B6	SEEG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
C1	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
C2	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
C3	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
C4	SEEG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
D1	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
D2	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
D3	SEEG	µV	0.08	300	1000	not applied	resected	seizure onset zone	n/a	n/a	trained
D4	SEEG	µV	0.08	300	1000	not applied	resected	seizure onset zone	n/a	n/a	trained
D5	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
D6	SEEG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
E1	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
E2	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
E3	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
E4	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
E5	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
E6	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
E7	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
